chr	start	end	adipocytes	aorta_endothel	bladder_epithelial	blood_b	blood_granulocytes	blood_monocytes	blood_nk	blood_t_cd4	blood_t_cd8	breast_basal_epithelial	breast_luminal_epithelial	colon_endocrine	colon_epithelial	endometrium_epithelial	fallopian_epithelial	fibroblast	gastric_epithelial	heart_cardiomyocyte	kidney_glomerular_endothel	kidney_glomerular_podocytes	kidney_tubular_endothel	kidney_tubular_epithelial	liver_hepatocytes	lung_alveolar_endothel	lung_alveolar_epithelial	lung_bronchus_epithelial	macrophage	myeloid	neural	oligodendrocytes	pancreas_acinar	pancreas_alpha	pancreas_beta	pancreas_delta	pancreas_duct	pancreas_endothel	prostate_epithelial	saphenous_vein_endothel	skeletal_muscle	small_int_epithelial	smooth_muscle	thyroid_epithelial	tongue_epithelial	tonsil_palatine_epithelial
chr14	71635184	71635348	0.1368246336996337	0.03036750483558994	0.015933484504913074	0.8511370828572369	0.9559364573183334	0.9633431085043989	0.9832683560753736	0.9060845974308103	0.9568404132650707	0.0	0.0070921985815602835	0.02802893309222423	0.0	0.013307493540051679	0.007246376811594203	0.09426099811741333	0.009645763600565859	0.03309900545277747	0.0	0.020704915441757548	0.014814814814814815	0.06457395084134346	0.05330969014612502	0.09655446878204833	0.006944444444444444	0.006944444444444444	0.8813538604737969	0.9576300540455277	0.012011613155900658	0.00836097291321172	0.06448397913561849	0.007246376811594203	0.0	0.0	0.006097560975609756	0.009523809523809523	0.0	0.02526268723451822	0.22664455500276395	0.004166666666666667	0.07417496086961822	0.0	0.0	0.010416666666666666
chr17	29411797	29411954	0.009009009009009009	0.0	0.007407407407407407	0.0	0.008130081300813009	0.0	0.019047619047619046	0.004168475900998697	0.0032258064516129032	0.0	0.0	0.0	0.0	0.02224694104560623	0.0	0.007355547678128323	0.0	0.0	0.006060606060606061	0.0	0.0	0.0	0.8247825760983655	0.0	0.0	0.0	0.011695075757575757	0.12281751597319619	0.0	0.0	0.0	0.006060606060606061	0.0	0.0	0.0	0.014492753623188406	0.0	0.0	0.010869565217391304	0.010715914272685818	0.00975609756097561	0.0	0.006289308176100628	0.0
chr4	1094258	1094499	0.005208333333333333	0.006666666666666667	0.008333333333333333	0.0	0.0	0.0	0.026041666666666668	0.005975473801560759	0.011010027708140916	0.0	0.00546448087431694	0.02082995184764378	0.008614002857726066	0.0	0.0	0.008772721334548825	0.006544513105742543	0.0022522522522522522	0.0	0.006666666666666667	0.004975124378109453	0.00966183574879227	0.005376344086021505	0.0091324200913242	0.003472222222222222	0.003003003003003003	0.0022727272727272726	0.15796672092179065	0.0	0.0	0.9457093342522982	0.008547008547008546	0.005050505050505051	0.005847953216374269	0.018608622620380738	0.015213675213675212	0.0	0.008160421953525402	0.04173290937996821	0.15214477601932974	0.04030240622976701	0.0	0.013728632478632478	0.0
chr2	70557321	70557456	0.007246376811594203	0.0	0.0802878408141566	0.0	0.0	0.0	0.0	0.013103563103563105	0.003333333333333333	0.0	0.0	0.8890812196978803	0.9192405785429042	0.04883720930232558	0.0	0.02190611664295875	0.06431240554469636	0.0	0.0	0.0	0.0	0.013071895424836602	0.0	0.0	0.0	0.018867924528301886	0.014830508474576272	0.14402085369827303	0.005689102564102564	0.0	0.0	0.017740429505135387	0.0	0.0	0.0	0.0	0.006756756756756757	0.007407407407407408	0.015151515151515152	0.946939628694287	0.04574525745257453	0.009009009009009009	0.006172839506172839	0.013333333333333334
chr7	47852597	47852706	0.005291005291005291	0.0	0.0	0.0	0.0	0.0	0.009259259259259259	0.005355884425651868	0.008928571428571428	0.0	0.0	0.0	0.0	0.0	0.0	0.005291005291005291	0.005361757105943153	0.0040650406504065045	0.0	0.005555555555555556	0.013333333333333334	0.0	0.0	0.0	0.0	0.0070921985815602835	0.0	0.1630089717046239	0.06659922632936455	0.9370888157894737	0.013852672750977835	0.0	0.19608956293127336	0.0467259367515122	0.05341302447059644	0.013333333333333334	0.0	0.0	0.20452127659574468	0.0	0.0037037037037037034	0.0	0.007575757575757576	0.006666666666666667
chr7	1888622	1888984	0.004273504273504273	0.006024096385542169	0.0068312284730195185	0.015838907469342252	0.017914266533338965	0.019622641509433963	0.009623095429029671	0.014259045629207077	0.0064865036923860446	0.00390625	0.0	0.0045045045045045045	0.007378774356686003	0.013071895424836602	0.0	0.025960815180889434	0.01888833909955491	0.8424443005207811	0.002710027100271003	0.004166666666666667	0.005291005291005291	0.0032362459546925564	0.005123370969553983	0.017083908272554044	0.01854286068553828	0.03274500126457018	0.00859294146435741	0.053464712008331326	0.016262209040415084	0.011827747782803964	0.010603224518318858	0.01784740082612423	0.008611111111111111	0.012578616352201257	0.0	0.01092896174863388	0.0076015254586683165	0.025793650793650796	0.009900990099009901	0.004201680672268907	0.02251768949425873	0.003703703703703704	0.01580058359719377	0.05718127174944638
chr9	134523504	134523710	0.03998886104149262	0.0	0.025	0.016993464052287584	0.0	0.0	0.008771929824561403	0.006492248062015505	0.007333333333333333	0.0	0.009259259259259259	0.0	0.0	0.017050298380221655	0.0	0.01169026169026169	0.0	0.0043859649122807015	0.00980392156862745	0.2128684807256236	0.10092226613965745	0.20059305773591488	0.023995496840324426	0.0	0.05447635135135135	0.0	0.0	0.18795239847871428	0.01414736400796562	0.008064516129032258	0.0	0.007751937984496124	0.009523809523809523	0.011494252873563218	0.0	0.0	0.0	0.008333333333333333	0.0	0.0	0.018140929535232383	0.981981981981982	0.013419216317767041	0.07572242572242571
chr7	83663559	83663645	0.0	0.0	0.016666666666666666	0.03555555555555555	0.0	0.0	0.023809523809523808	0.007692307692307693	0.016666666666666666	0.0	0.047619047619047616	0.0	0.014285714285714285	0.0	0.0	0.011904761904761904	0.9672294843863471	0.008771929824561403	0.0	0.0	0.013888888888888888	0.0	0.07023809523809524	0.06018518518518518	0.0	0.0	0.005952380952380952	0.3460038986354776	0.0	0.0	0.04420289855072464	0.0	0.0	0.0	0.010416666666666666	0.0	0.0	0.022222222222222223	0.0	0.010869565217391304	0.05407407407407407	0.0	0.014492753623188406	0.027777777777777776
chr10	90659411	90659456	0.03809523809523809	0.06818181818181818	0.034722222222222224	0.11795397584871267	0.0	0.0	0.0	0.0034482758620689655	0.0	0.027777777777777776	0.0	0.11288305190744215	0.05159774436090225	0.0	0.0	0.08958333333333333	0.008888888888888889	0.0	0.025641025641025644	0.041666666666666664	0.0	0.037037037037037035	0.0	0.0	0.05833333333333333	0.9657894736842105	0.0	0.26314989358467616	0.009728506787330317	0.0	0.005952380952380952	0.0	0.0	0.0	0.0	0.016666666666666666	0.24603174603174602	0.0	0.043478260869565216	0.22788123401534527	0.033766233766233764	0.0	0.9901960784313726	0.9211682037768995
chr10	63170201	63170431	0.0	0.0	0.006898602438299137	0.007796101949025487	0.009259259259259259	0.0196078431372549	0.0	0.014517475432960192	0.0033730158730158727	0.004098360655737705	0.07678675754625122	0.0	0.00867160226315156	0.8419082125603864	0.0	0.014419093409522844	0.0	0.0033333333333333335	0.0	0.0136986301369863	0.006802721088435374	0.028321256038647342	0.0170656420462922	0.0	0.010360172437769434	0.0	0.008487616992771632	0.19866871479774706	0.008709559672402787	0.1685247207577391	0.046598893108886534	0.0	0.006666666666666667	0.006289308176100628	0.0	0.0	0.003676470588235294	0.0	0.0	0.006909430438842203	0.021790961847141622	0.005208333333333333	0.004166666666666667	0.020177404295051354
