chr	start	end	bladder_epithelial	blood_b	blood_granulocytes	blood_nk	breast_basal_epithelial	breast_luminal_epithelial	cluster1	cluster2	cluster3	cluster4	endometrium_epithelial	fallopian_epithelial	gastric_epithelial	heart_cardiomyocyte	liver_hepatocytes	lung_alveolar_epithelial	lung_bronchus_epithelial	myeloid	neural	oligodendrocytes	pancreas_acinar	pancreas_alpha	pancreas_beta	pancreas_delta	pancreas_duct	prostate_epithelial	small_int_epithelial	thyroid_epithelial	tongue_epithelial	tonsil_palatine_epithelial	cluster5
chr12	121417986	121418109	0.03177	0.03442	0.0	0.0	0.0	0.0	0.16054	0.03325	0.00455	0.96626	0.92982	0.05899	0.98453	0.08591	0.93563	0.14209	0.06307	0.1201	0.03625	0.03409	0.95312	0.97701	0.98851	1.0	0.95559	0.04738	0.9797	0.09812	0.02262	0.04449	0.91523
chr1	110345034	110345311	0.0	0.03306	0.03732	0.97759	0.0	0.0	0.01516	0.03291	0.86112	0.0	0.0	0.0	0.02764	0.00439	0.0168	0.0101	0.0258	0.99561	0.01784	0.01136	0.0588	0.0	0.0	0.0	0.0	0.00455	0.00532	0.0	0.00654	0.00741	0.01144
chr4	99915083	99915274	0.0	0.01	0.0	0.01859	0.0	0.00877	0.00431	0.00112	0.01856	0.00233	0.00546	0.01282	0.00378	0.8468	0.0	0.01658	0.01922	0.07121	0.04353	0.0	0.02991	0.01422	0.01149	0.00877	0.01389	0.00463	0.0	0.0	0.0068	0.0129	0.00314
chr12	118588890	118588930	0.0	0.0	0.0	0.0	0.0	0.0	0.01753	0.00284	0.0	0.0	0.0	0.0	0.00576	0.02646	0.00575	0.05152	0.02464	0.05636	0.15527	0.93278	0.0	0.0	0.02381	0.0	0.0	0.03125	0.0	0.0	0.01449	0.01075	0.00833
chr11	1512164	1512271	0.04541	0.05352	0.01721	0.01075	0.01667	0.0	0.02543	0.00766	0.03119	0.00286	0.03361	0.0	0.00222	0.00407	0.0	0.0	0.0	0.06577	0.14599	0.0	0.01111	0.0	0.01333	0.0	0.00833	0.0	0.00568	0.96774	0.0	0.02362	0.04336
chr16	69047468	69047685	0.02947	0.01111	0.96429	0.01042	0.0	0.0	0.01963	0.0845	0.00812	0.00435	0.0	0.0	0.003	0.0	0.0	0.13617	0.0	0.25132	0.0	0.01	0.0	0.0	0.0	0.0	0.00806	0.0	0.0	0.0	0.01449	0.0	0.0
chr11	117060248	117060538	0.00408	0.99286	0.05956	0.0	0.05981	0.0	0.03221	0.91167	0.00602	0.00711	0.01111	0.0	0.0248	0.01538	0.01421	0.01086	0.03315	0.05876	0.02113	0.03176	0.02396	0.0	0.0155	0.01709	0.0	0.00424	0.01365	0.0	0.05099	0.03497	0.00225
chr11	113747181	113747299	0.02605	0.03392	0.00775	0.01693	0.0	0.0	0.01293	0.03833	0.00363	0.05588	0.0	0.03962	0.01376	0.0	0.0	0.01524	0.10227	0.05	0.00971	0.0	0.00338	0.0	0.0	0.0	0.0	0.0	0.14702	0.03773	0.98131	0.74571	0.05106
chr17	46958470	46958506	0.0337	0.00556	0.00794	0.01333	0.0	0.02083	0.03286	0.00513	0.00477	0.00455	0.0	0.00901	0.03514	0.01852	0.0	0.698	0.04086	0.11789	0.00244	0.00833	0.14493	0.02092	0.01282	0.0	0.02473	0.03388	0.0	0.04846	0.02306	0.01852	0.00327
chr13	113795953	113796051	0.0	0.03501	0.0	0.01881	0.24462	0.18866	0.01528	0.00487	0.03307	0.00795	0.00629	0.9902	0.01513	0.00901	0.20137	0.03822	0.00483	0.16769	0.00286	0.0	0.01763	0.0	0.0	0.0	0.01471	0.02388	0.00714	0.00833	0.01481	0.03	0.16346
chr11	119157986	119157997	0.01668	0.0	0.0	0.00901	0.96538	0.11266	0.00411	0.00116	0.01395	0.0	0.01449	0.0	0.00247	0.03106	0.00303	0.01262	0.04302	0.23714	0.27565	0.09499	0.01735	0.0569	0.119	0.03175	0.0	0.11004	0.0	0.0	0.26436	0.16032	0.01036
chr8	122873916	122874072	0.07272	0.02416	0.02286	0.01626	0.0	0.0	0.02107	0.01192	0.03069	0.03389	0.06568	0.0	0.02853	0.0068	0.0	0.0215	0.90308	0.28462	0.0067	0.00481	0.12827	0.01806	0.01816	0.01515	0.0098	0.05569	0.00481	0.0	0.0	0.02579	0.00987
chr3	57679236	57679469	0.72847	0.01067	0.00358	0.00444	0.0	0.02464	0.00754	0.00599	0.00829	0.00337	0.0	0.00407	0.95699	0.00273	0.00235	0.11973	0.0226	0.11003	0.01763	0.00752	0.07461	0.0049	0.02266	0.02568	0.03309	0.10699	0.00275	0.0049	0.00711	0.02495	0.00729
chr12	8371595	8371733	0.00364	0.00913	0.0	0.02117	0.00694	0.0	0.02834	0.01267	0.02082	0.00725	0.0	0.00694	0.02205	0.03308	0.05254	0.0109	0.03553	0.18734	0.0	0.0049	0.97201	0.03326	0.04773	0.04422	0.18048	0.0	0.01569	0.02438	0.01056	0.00694	0.04691
chr9	88650259	88650428	0.0	0.0	0.01639	0.02974	0.11089	0.00833	0.02901	0.01379	0.03448	0.1081	0.01042	0.01149	0.05826	0.00805	0.00327	0.0	0.0353	0.1684	0.63285	0.0143	0.04414	0.02128	0.04474	0.0458	0.02944	0.01148	0.11122	0.01333	0.00833	0.01709	0.08104
chr6	163617164	163617399	0.0	0.00795	0.0	0.0098	0.0	0.042	0.00888	0.0111	0.00693	0.00137	0.0	0.0	0.00331	0.0	0.94116	0.0	0.0	0.15964	0.0	0.01799	0.00983	0.0	0.0	0.00901	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr15	100349643	100349873	0.0444	0.09953	0.0	0.05664	0.0	0.0	0.02601	0.03038	0.13562	0.98693	0.01991	0.0	0.02759	0.0679	0.02355	0.01306	0.02657	0.21545	0.00605	0.03104	0.03282	0.00877	0.0	0.0	0.01087	0.03472	0.12138	0.01212	0.02068	0.02223	0.0
chr1	161055420	161055480	0.19152	0.11016	0.02564	0.04603	0.12574	0.97778	0.17248	0.00676	0.05514	0.03638	0.06624	0.0	0.14384	0.08333	0.01333	0.16635	0.13986	0.38034	0.05217	0.03819	0.01316	0.14263	0.10994	0.13382	0.0	0.07281	0.8267	0.0	0.07065	0.19013	0.0807
chr18	72171123	72171591	0.0	0.0	0.0	0.01077	0.01503	0.00612	0.00897	0.0009	0.00152	0.00314	0.8195	0.00591	0.01505	0.0014	0.0	0.0	0.00511	0.15718	0.00603	0.00321	0.01357	0.00285	0.01468	0.02248	0.00357	0.0	0.00438	0.0	0.0	0.003	0.00891
chr10	29736315	29736446	0.05504	0.04739	0.0	0.03704	0.0478	0.04786	0.05576	0.01311	0.06488	0.01458	0.02469	0.01333	0.03553	0.18975	0.02083	0.04155	0.0	0.28333	0.0	0.0	0.08632	0.01333	0.8584	0.0	0.0	0.0	0.01755	0.01333	0.02524	0.07612	0.05589
chr13	28108342	28108423	0.0	0.03772	0.01449	0.0	0.0	0.0	0.02007	0.02211	0.00357	0.0	0.0	0.0	0.01209	0.01042	0.00833	0.15436	0.01587	0.95236	0.01186	0.0	0.05567	0.93463	0.16239	0.11905	0.0	0.0	0.0125	0.01449	0.0	0.06977	0.0
chr14	104889055	104889124	0.20149	0.0	0.0	0.0	0.03846	0.01149	0.12701	0.00557	0.0	0.26039	0.32627	0.12201	0.00759	0.0	0.0079	0.00654	0.0	0.12537	0.33733	0.04437	0.01667	0.01111	0.0	0.0	0.0	0.82169	0.02155	0.0	0.00775	0.00709	0.92045
chr18	48340912	48340987	0.0625	1.0	0.0303	0.01852	0.0	0.0	0.03224	0.03472	0.02355	0.13342	0.0	0.05921	0.01524	0.00833	0.0	0.02261	0.02729	0.22186	0.0	0.0	0.0	0.04898	0.04416	0.0	0.01667	0.03427	0.01719	0.17143	0.02667	0.21934	0.11111
chr1	162370653	162370871	0.0	0.0	0.0	0.80268	0.0	0.0	0.00604	0.01548	0.07026	0.0	0.0	0.0	0.0	0.00388	0.0	0.0	0.00457	0.05644	0.20204	0.2834	0.00862	0.00694	0.0	0.0	0.0	0.0	0.0	0.01465	0.0	0.02224	0.00505
chr4	1778259	1778351	0.03961	0.0	0.0	0.06061	0.0	0.0	0.02013	0.01718	0.01362	0.0195	0.0	0.01149	0.0	0.0	0.00725	0.0	0.02485	0.05373	0.00996	0.15256	0.00758	0.0	0.01389	0.0	0.94506	0.00926	0.0	0.0	0.07102	0.02431	0.08641
chr16	73395169	73395280	0.15824	0.0	0.14286	0.0	0.08333	0.17379	0.09531	0.00715	0.02955	0.0	0.0	0.0	0.05	0.0	0.09314	0.0	0.0	0.3237	0.00909	0.01786	0.35577	0.0	0.0	0.08832	0.0	0.0	0.05729	0.0	0.85348	0.31477	0.0
